CALL #(Item)	TITLE	BARCODE		
327.12 O	Hidden secrets / David Owen.	31182015321721		
327.124 A	The world was going our way : the KGB and the battle for the Third World / Christopher Andrew and Vasili Mitrokhin.	31182016967605		
327.124 J	The secret history of MI6 / Keith Jeffery.	31182020829528		
327.124 M	A spy among friends : Kim Philby and the great betrayal / Ben Macintyre.	31182021036651		
327.125 H	"Operation Damocles : Israel's secret war against Hitler's scientists, 1951-1967/ Roger Howard."	31182020454897		
327.127 A	The secret sentry : the untold history of the National Security Agency / Matthew M. Aid.	31182018777846		
327.127 B	The shadow factory : the ultra-secret NSA from 9/11 to the eavesdropping on America / James Bamford.	31182018313196		
327.127 B	The company we keep : a husband-and-wife true-life spy story / Robert and Dayna Baer.	31182020230909		
327.127 C	Facts and fears : hard truths from a life in intelligence / James R. Clapper with Trey Brown.	31182034573245		
327.127 H	Playing to the edge : American intelligence in the age of terror / Michael V. Hayden.	31182033801175		
327.127 H	The assault on intelligence : American national security in an age of lies / Michael V. Hayden.	31182034573385		
327.127 J	Cloak and dollar : a history of American secret intelligence / Rhodri Jeffreys-Jones.	31182015342065		
327.127 K	"The brothers : John Foster Dulles, Allen Dulles, and their secret world war / Stephen Kinzer."	31182020567565		
327.127 K	Poisoner in chief : Sidney Gottlieb and the CIA search for mind control / Stephen Kinzer.	31182034799428		
327.127 M	"Spy dust : two masters of disguise reveal the tools and operations that helped win the Cold War / Antonio and Jonna Mendez, with Bruce Henderson."	31182015457541		
327.127 M	The Moscow rules : the secret CIA tactics that helped America win the Cold War / Antonio J. Mendez and Jonna Mendez   with Matt Baglio.	31182034914548		
327.127 W	The mighty Wurlitzer : how the CIA played America / Hugh Wilford.	31182017993030		
327.128 D	The Condor years : how Pinochet and his allies brought terrorism to three continents / John Dinges.	31182015930620		
327.16 D	Climate wars / The Fight for Survival As the World Overheats Gwynne Dyer.	31182020012406		
327.174 R	"The twilight of the bombs : recent challenges, new dangers, and the prospects for a world without nuclear weapons / Richard Rhodes."	31182020005368		
327.209 I	The wise men : six friends and the world they made / Walter Isaacson and Evan Thomas.	31182019399665		
327.42 B	The sultan and the queen : the untold story of Elizabeth and Islam / Jerry Brotton.	31182034211911		
327.47 F	"High noon in the Cold War : Kennedy, Khrushchev, and the Cuban Missile Crisis / Max Frankel."	31182016830845		
327.47 G	The new Russia / Mikhail Gorbachev   translated by Arch Tait.	31182034099134		
327.47 S	"Putin's master plan : to destroy Europe, divide NATO, and restore Russian power and global influence / by Douglas E. Schoen with Evan Roth Smith."	31182034020494		
327.51 J	When China rules the world : the end of the western world and the birth of a new global order / Martin Jacques.	31182018892348		
327.51 W	Tiger trap : America's secret spy war with China / David Wise.	31182020787981		
327.53 B	The caliph's splendor : Islam and the West in the golden age of Baghdad / Benson Bobrick.	31182019507887		
327.54 H	The longest August : the unflinching rivalry between India and Pakistan / Dilip Hiro.	31182033681213		
327.55 A	Confronting Iran : the failure of American foreign policy and the next great crisis in the Middle East / Ali M. Ansari.	31182021648240		
327.561 T	"There was and there was not : a journey through hate and possibility in Turkey, Armenia, and beyond / Meline Toumani."	31182021129332		
327.59 K	Asia's cauldron : the South China Sea and the end of a stable Pacific / Robert D. Kaplan.	31182033593277		
327.73 A	Reagan's secret war : the untold story of his fight to save the world from nuclear disaster / Martin Anderson and Annelise Anderson.	31182018667435		
327.73 B	American empire : the realities and consequences of U.S. diplomacy / Andrew J. Bacevich.	31182015501983		
327.73 B	The Icarus syndrome : a history of American hubris / Peter Beinart.	31182020011432		
327.73 B	"The blood telegram : Nixon, Kissinger, and a forgotten genocide / Gary J. Bass."	31182020852793		
327.73 B	China 1945 : Mao's revolution and America's fateful choice / Richard Bernstein.	31182021133060		
327.73 C	The umbrella of U.S. power : the universal declaration of human rights and the contradictions of U.S. policy / Noam Chomsky.	31182015192163		
327.73 C	Hegemony or survival : America's quest for global dominance / Noam Chomsky.	31182015879314		
327.73 C	Imperial ambitions : conversations on the post-9/11 world / Noam Chomsky   interviews with David Barsamian.	31182016814500		
327.73 C	"Inventing the axis of evil : the truth about North Korea, Iran, and Syria / Ervand Abrahamian, Bruce Cumings, Moshe Maʼoz."	31182016852740		
327.73 C	What we say goes : conversations on U.S. power in a changing world : interviews with David Barsamian / Noam Chomsky.	31182017824136		
327.73 C	The twilight war : the secret history of America's thirty-year conflict with Iran / David Crist.	31182019479277		
327.73 C	Emperor of liberty : Thomas Jefferson's foreign policy / Francis D. Cogliano.	31182020960000		
327.73 C	Hopes and prospects / Noam Chomsky.	31182021815450		
327.73 C (PBK.)	In the stream of history : shaping foreign policy for a new era / Warren Christopher.	31182014210404		
327.73 D	The contest of the century : the new era of competition with China--and how America can win / Geoff Dyer.	31182020997234		
327.73 F	Colossus : the price of America's empire / Niall Ferguson.	31182016047275		
327.73 F	America's secret war : inside the hidden worldwide struggle between America and its enemies / George Friedman.	31182016281700		
327.73 F	"America at the crossroads : democracy, power, and the neoconservative legacy / Francis Fukuyama."	31182017169714		
327.73 F	A choice of enemies : America confronts the Middle East / Lawrence Freedman.	31182018256031		
327.73 F	War on peace : the end of diplomacy and the decline of American influence / Ronan Farrow.	31182034505254		
327.73 G	From the shadows : the ultimate insider's story of five presidents and how they won the Cold War / Robert M. Gates.	31182013589758		
327.73 H	Outpost : life on the frontlines of American diplomacy : a memoir / Christopher R. Hill.	31182021085062		
327.73 I	The imperial tense : prospects and problems of American empire / edited with an introduction by Andrew J. Bacevich.	31182015684607		
327.73 J	Blowback : the costs and consequences of American empire / Chalmers Johnson.	31182014640808		
327.73 K	Does America need a foreign policy? : towards a diplomacy for the 21st century / Henry Kissinger.	31182015104077		
327.73 K	"The true flag : Theodore Roosevelt, Mark Twain, and the birth of American empire / Stephen Kinzer."	31182034160142		
327.73 M	The myth of the great Satan : a new look at America's relations with Iran / Abbas Milani.	31182020058706		
327.73 P	Against empire / Michael Parenti.	31182015497273		
327.73 P	Rogue nation : American unilateralism and the failure of good intentions / Clyde Prestowitz.	31182015884983		
327.73 P	"A foreign policy of freedom :  peace, commerce, and honest friendship  / Ron Paul."	31182017978197		
327.73 P	A path out of the desert : a grand strategy for America in the Middle East / Kenneth M. Pollack.	31182018256429		
327.73 P	The irony of manifest destiny : the tragedy of America's foreign policy / William Pfaff.	31182020142146		
327.73 R	The United States of Europe : the new superpower and the end of American supremacy / T.R. Reid.	31182016404773		
327.73 R	Zero-sum future : American power in an age of anxiety / Gideon Rachman.	31182020207634		
327.73 S	The bubble of American supremacy : correcting the misuse of American power / George Soros.	31182015973406		
327.73 S	America in retreat : the new isolationism and the coming global disorder / Bret Stephens.	31182033586859		
327.73 Z	The accidental superpower : the next generation of American preeminence and the coming global disorder / by Peter Zeihan.	31182021130868		
328.73 A	American Evita : Hillary Clinton's path to power / Christopher Andersen.	31182016214164		
328.73 B	All the truth is out : the week politics went tabloid / Matt Bai.	31182021081913		
328.73 B	Keep swinging : a memoir of politics and justice / Joseph L. Bruno.	31182034008572		
328.73 B	"For colored girls who have considered politics / Donna Brazile, Yolanda Caraway, Leah Daughtry, and Minyon Moore, with Veronica Chambers."	31182034669555		
328.73 C	What happened / Hillary Rodham Clinton.	31182034366350		
328.73 G	A slobbering love affair : the true (and pathetic) story of the torrid romance between Barack Obama and the mainstream media / by Bernard Goldberg.	31182018466747		
328.73 H	Square peg : confessions of a citizen senator / Orrin Hatch.	31182015483158		
328.73 P	"Speaker Nancy Pelosi and the new American politics / Ronald M. Peters, Jr., Cindy Simon Rosenthal."	31182020015722		
328.73 R	The U.S. Congress : a very short introduction / Donald A. Ritchie.	31182020061452		
328.73 W	The Waxman report : how Congress really works / Henry Waxman with Joshua Green.	31182020061346		
329.023 C	The boys on the bus / Timothy Crouse   foreword by Hunter S. Thompson.	31182020059423		
330 A	Priceless : on knowing the price of everything and the value of nothing / Frank Ackerman and Lisa Heinzerling.	31182017841957		
330 A	Predictably irrational : the hidden forces that shape our decisions / Dan Ariely.	31182017992941		
330 A	"Why nations fail : the origins of power, prosperity and poverty / Daron Acemoglu, James A. Robinson."	31182019490720		
330 F	The economic naturalist : in search of explanations to everyday enigmas / Robert H. Frank.	31182017795039		
330 F	Economics for dummies / by Sean Masaki Flynn.	31182020704390		
330 G	Common sense economics : what everyone should know about wealth and prosperity / James D. Gwartney ... [et al.].	31182019986636		
330 J	The nature of economies / Jane Jacobs.	31182014707771		
330 L	"Superfreakonomics : global cooling, patriotic prostitutes, and why suicide bombers should buy life insurance / Steven D. Levitt and Stephen J. Dubner."	31182018892322		
330 L	When to rob a bank : ...and 131 more warped suggestions and well-intended rants from the freakonomics guys / Steven D. Levitt & Stephen J. Dubner.	31182033665828		
330 L	Freakonomics : a rogue economist explores the hidden side of everything / Steven D. Levitt & Stephen J. Dubner.	31182034875509		
330 Q	Zombie economics : how dead ideas still walk among us / John Quiggin.	31182020193917		
330 S	Applied economics : thinking beyond stage one / Thomas Sowell.	31182015880544		
330 S	Economic facts and fallacies / Thomas Sowell.	31182017969659		
330 S	Basic economics : a common sense guide to the economy / Thomas Sowell.	31182018483486		
330 T	The instant economist : everything you need to know about how the economy works / Timothy Taylor.	31182019372415		
330 V	"A devil's dictionary of business : monkey business  high finance and low  money, the making, losing, and printing thereof  commerce  trade  clever tricks  tours de force  globalism and globaloney  industry  invention  the stock market  marvelous explanations and clarifications  all presented with wit and attitude ... / Nicholas von Hoffman."	31182016761461		
330 W	Naked economics : undressing the dismal science / Charles Wheelan   foreword by Burton G. Malkiel.	31182015417594		
330.015 G	Economic indicators for dummies / by Michael Griffis.	31182020988951		
330.019 C	"Discover your inner economist : use incentives to fall in love, survive your next meeting, and motivate your dentist / Tyler Cowen."	31182017904359		
330.019 T	"Nudge : improving decisions about health, wealth, and happiness / Richard H. Thaler, Cass R. Sunstein."	31182018040013		
330.097 W	Knowledge and the wealth of nations : a story of economic discovery / David Warsh.	31182017191890		
330.1 O	"Why most things fail : evolution, extinction and economics / Paul Ormerod."	31182017160556		
330.1 S	Small is beautiful : economics as if people mattered / E.F. Schumacher.	31182013904569		
330.1 S	"The mind of the market : compassionate apes, competitive humans, and other tales from evolutionary economics / Michael Shermer."	31182017951228		
330.122 B	The battle for the soul of capitalism / John C. Bogle.	31182017191692		
330.122 C	The future of capitalism : facing the new anxieties / Paul Collier.	31182034704725		
330.122 F	"One market under God : extreme capitalism, market populism and the end of economic democracy / by Thomas Frank."	31182014899651		
330.122 G	Global capitalism / edited by Will Hutton and Anthony Giddens.	31182014861917		
330.122 K	The shock doctrine : the rise of disaster capitalism / Naomi Klein.	31182017831388		
330.122 K	Your teacher said what?! : defending our kids from the liberal assault on capitalism / Joe Kernen and Blake Kernen.	31182020761341		
330.122 L	"Freedomnomics : why the free market works and other half-baked theories don't / John R. Lott, Jr."	31182017904219		
330.122 P	The value of nothing : how to reshape market society and redefine democracy / Raj Patel.	31182018995166		
330.122 W	Democracy at work : a cure for capitalism / Richard Wolff.	31182019692812		
330.14 L	How to speak money : what the money people say : and what it really means / John Lanchester.	31182021104038		
330.15 A	Let them eat junk : how capitalism creates hunger and obesity / Robert Albritton.	31182018834837		
330.153 O	On the wealth of nations / P.J. O'Rourke.	31182017557108		
330.153 S	The wealth of nations / Adam Smith   with an introduction by D.D. Raphael.	31182020086798		
330.17 H	"The gridlock economy : how too much ownership wrecks markets, stops innovation, and costs lives / Michael Heller."	31182018259555		
330.9 B	False economy / Alan Beattie.	31182018495274		
330.9 B	Good economics for hard times / Abhijit V. Banerjee & Esther Duflo.	31182034954569		
330.9 C	A farewell to alms : a brief economic history of the world / Gregory Clark.	31182017843045		
330.9 K	The return of depression economics and the crisis of 2008 / Paul Krugman.	31182018374305		
330.905 H	"The undercover economist : exposing why the rich are rich, the poor are poor--and why you can never buy a decent used car! / Tim Harford."	31182016999525		
330.905 L	I.O.U. : why everyone owes everyone and no one can pay / John Lanchester.	31182018950088		
330.94 C	The Cambridge economic history of Europe.	31182007339509		
330.94 S	Financial turmoil in Europe and the United States : essays / George Soros.	31182019407971		
330.941 O	Ship of fools : how stupidity and corruption sank the Celtic Tiger / Fintan O'Tolle.	31182018978485		
330.942 T	The industrial revolution.	31182000210947		
330.948 L	"Viking economics : how the Scandinavians got it right - and how we can, too / George Lakey."	31182034136324		
330.951 M	The elephant and the dragon : the rise of India and China and what it means for all of us / Robyn Meredith.	31182017831925		
330.951 P	Dealing with China : an insider unmasks the new economic superpower / Henry M. Paulson Jr.	31182033457366		
330.954 D	Capital : the eruption of Delhi / Rana Dasgupta.	31182021108955		
330.956 S	Start-up nation : the story of Israel's economic miracle / Dan Senor and Saul Singer.	31182018994698		
330.973 A	"Economic literacy : a comprehensive guide to economic issues from foreign trade to health care / by Orley Amos, Jr."	31182012929104		
330.973 F	"The High-Beta Rich : how the manic wealthy will take us to the next boom, bubble, and bust / Robert Frank."	31182019196780		
330.973 G	An empire of wealth : the epic history of American economic power / John Steele Gordon.	31182016269176		
330.973 G	"John Kenneth Galbraith : The affluent society and other writings, 1952-1967 : American capitalism, The Great Crash, 1929, The affluent society, The new Industrial state / [editor, James K. Galbraith]."	31182020009816		
330.973 G	"The map and the territory : risk, human nature, and the future of forecasting / Alan Greenspan."	31182020581178		
330.973 G	Guide to economic indicators : making sense of economics.	31182020704689		
330.973 H	"The great risk shift : the assault on American jobs, families, health care, and retirement and how you can fight back / Jacob S. Hacker."	31182017443358		
330.973 H	The crash of 2016 : the plot to destroy America - and what we can do to stop it / Thom Hartmann.	31182020601323		
330.973 K	"Arguing with zombies : economics, politics, and the fight for a better future / Paul Krugman."	31182035320612		
330.973 L	"The looting of America : how Wall Street's game of fantasy finance destroyed our jobs, pensions, and prosperity, and what we can do about it / Les Leopold."	31182018733674		
330.973 L	The big short : inside the doomsday machine / Michael Lewis.	31182019077097		
330.973 P	A failure of capitalism : the crisis of '08 and the descent into depression / Richard A. Posner.	31182018673714		
330.973 P	"It takes a pillage : behind the bailouts, bonuses, and backroom deals from Washington to Wall Street / Nomi Prins."	31182018864883		
330.973 R	"Saving capitalism : for the many, not the few / Robert B. Reich."	31182033506196		
330.973 T	Time to Get Tough : Making America #1 Again	31182019221224		
330.973 W	The land of enterprise : a business history of the United States / Benjamin C. Waterhouse.	31182034289677		
330.98 G	Open veins of Latin America : five centuries of the pillage of a continent / Eduardo Galeano   translated by Cedric Belfrage.	31182033747980		
330.982 B	"And the money kept rolling in (and out) : Wall Street, the IMF, and the bankrupting of Argentina / Paul Blustein."	31182016548199		
331 L	"Shadow work : the unpaid, unseen jobs that fill your day / Craig Lambert."	31182033687194		
331.011 K	"All labor has dignity / On Labor Rights and Economic Justice Martin Luther King, Jr.   edited, with introductions by Michael K. Honey."	31182020673611		
331.097 G	The big squeeze : tough times for the American worker / Steven Greenhouse.	31182018163096		
331.109 B	We wanted workers : unraveling the immigration narrative / George J. Borjas.	31182033992792		
331.109 C	The once and future worker : a vision for the renewal of work in America / by Oren Cass.	31182034765684		
331.117 M	"Working longer : the solution to the retirement income challenge / Alicia H. Munnell, Steven A. Sass."	31182019962876		
331.137 F	Rise of the robots : technology and the threat of a jobless future / Martin Ford.	31182033466474		
331.23 S	The working poor : invisible in America / David K. Shipler.	31182016022153		
331.252 G	When I'm sixty-four : the plot against pensions and the plan to save them / Teresa Ghilarducci.	31182018109727		
331.259 C	A Year Up : how a pioneering program that teaches young adults real skills for real jobs- - with real success / Gerald Chertavian.	31182019479244		
331.281 C	The CEO pay machine : how it trashes America and how to stop it / Steven Clifford.	31182034254853		
331.281 H	The military advantage : the military.com guide to military and veterans benefits.	31182033457259		
331.281 H	The military advantage : the military.com guide to military and veterans benefits.	31182033896613		
331.281 J	Forked : a new standard for American dining / Saru Jayaraman.	31182033796003		
331.281 M	"Teachers have it easy : the big sacrifices and small salaries of America's teachers / Daniel Moulthrop, Nínive Clements Calegari, Dave Eggers."	31182016848847		
331.398 B	Nomadland : surviving America in the twenty-first century / Jessica Bruder	31182034419662		
331.408 B	Our separate ways : Black and white women and the struggle for professional identity / Ella L.J. Edmondson Bell and Stella M. Nkomo.	31182015167934		
331.413 P	Reset : my fight for inclusion and lasting change / Ellen K. Pao.	31182034340629		
331.44 L	"A uterus is a feature, not a bug : the working woman's guide to overthrowing the patriarchy / Sarah Lacy."	31182034395979		
331.594 B	Beyond schizophrenia : living and working with a serious mental illness / Marjorie L. Baldwin.	31182034136142		
331.7 C	The job pirate : an entertaining tale of my job-hopping journey in America / Brandon Christopher.	31182033443713		
331.7 M	Life below stairs : true lives of Edwardian servants / Alison Maloney.	31182019688000		
331.702 B	The amazing adventures of working girl : real-life career advice you can actually use / Karen Burns.	31182018696681		
331.761 J	Behind the kitchen door / Saru Jayaraman.	31182020461553		
331.761 L	Servants : a downstairs history of Britain from the nineteenth century to modern times / Lucy Lethbridge.	31182020603642		
331.88 D	Prisoners of the American dream : politics and economy in the history of the US working class / Mike Davis.	31182015159709		
331.88 D	There is power in a union : the epic story of labor in America / Philip Dray.	31182020188263		
331.88 F	"Solidarity divided : the crisis in organized labor and a new path toward social justice / Bill Fletcher, Jr., and Fernando Gapasin."	31182019217438		
331.88 F	They're bankrupting us! : and 20 other myths about unions / Bill Fletcher Jr.	31182020461769		
331.88 N	The new rank and file / edited by Staughton Lynd and Alice Lynd.	31182015095366		
331.88 Y	Why unions matter / Michael D. Yates.	31182015569147		
331.881 T	Rising from the rails : Pullman porters and the making of the Black middle class / Larry Tye.	31182016154196		
331.886 W	Wobblies! : a graphic history of the Industrial Workers of the World / edited by Paul Buhle and Nicole Schulman.	31182019205599		
331.892 D	Delano : the story of the California Grape Strike: / John Gregory Dunne   photographs by Ted Streshinsky   [foreword by Ilan Stavans].	31182017817825		
331.892 H	"Going down Jericho Road : the Memphis strike, Martin Luther King's last campaign / Michael K. Honey."	31182017655522		
331.892 K	Holding the line : women in the great Arizona mine strike of 1983 / Barbara Kingsolver.	31182014984321		
331.892 M	"Collision course : Ronald Reagan, the air traffic controllers, and the strike that changed America / Joseph A. McCartin."	31182019266443		
331.892 S	The battle of Blair Mountain : the story of America's largest labor uprising / Robert Shogan.	31182016082116		
331.892 W	"Bread and roses : mills, migrants, and the struggle for the American dream / Bruce Watson."	31182016769290		
332 R	Due diligence : an impertinent inquiry into microfinance / David Roodman.	31182019508216		
332 S	Finance and the good society / Robert J. Shiller.	31182019489649		
332 S	Confessions of a microfinance heretic : how microlending lost its way and betrayed the poor / Hugh Sinclair.	31182019489938		
332.015 S	Stop acting rich --and start living like a real millionaire [sound recording (unabridged CD audiobook)] / Thomas J. Stanley.	31182020019237		
332.02 S	"In the black : live faithfully, prosper financially : the ultimate 9-step plan for financial fitness / Aaron W. Smith with Brenda Lane Richardson."	31182019986651		
332.024 A	"Save your retirement : what to do if you haven't saved enough or if your investments were devastated by the market meltdown / Frank Armstrong, III and Paul B. Brown."	31182018695204		
332.024 A	"Conscious money : living, creating, and investing with your values for a sustainable new prosperity / Patricia Aburdene."	31182019532166		
332.024 A	"Roadmap for the rest of your life : smart choices about money, health, work, lifestyle-- and pursuing your dreams / Bart Astor."	31182019811206		
332.024 A	The 4 laws of financial prosperity [sound recording (abridged CD audiobook)] : get control of your money now / by Blaine Harris and Charles Coonradt   foreword by Stephen R. Covey.	31182019933190		
332.024 A	"The busy family's guide to money [sound recording (unabridged CD audiobook)] / [by Sandra Block, Kathy Chu and John Waggoner]."	31182019933471		
332.024 A	Crisis economics [sound recording (unabridged CD audiobook)] : [a crash course in the future of finance] / Nouriel Roubini and Stephen Mihm.	31182019933489		
332.024 A	Mind over money [sound recording (abridged CD audiobook)] / Brad Klontz & Ted Klontz.	31182019933521		
332.024 A	Your money and your life : a lifetime approach to money management / Robert Z. Aliber.	31182020704804		
332.024 B	"Girl, get your credit straight! : a sister's guide to ditching your debt, mending your credit, and building a strong financial future / Glinda Bridgforth."	31182017561043		
332.024 B	The Wall Street journal guide to starting your financial life / Karen Blumenthal.	31182019145027		
332.024 B	Project renewment : the first retirement model for career women / Bernice Bratter and Helen Dennis   illustrations by Lahni Baruck.	31182019145282		
332.024 B	The complete guide to personal finance : for teenagers and college students / by Tamsen Butler   with foreword by Darlene Gudrie Butts.	31182019145720		
332.024 B	The ultimate suburban survivalist guide : the smartest money moves to prepare for any crisis / Sean Brodrick.	31182019145753		
332.024 B	30-minute money solutions : a step-by-step guide to managing your finances / Christine Benz.	31182019145894		
332.024 B	The big retirement risk : running out of money before you run out of time / Erin Botsford.	31182019460632		
332.024 B	Fight for your money : how to stop getting ripped off and save a fortune / David Bach.	31182019986768		
332.024 B	The family financial workbook : a practical guide to budgeting / Larry Burkett.	31182019986917		
332.024 B	Peace and plenty : finding your path to financial serenity / Sarah Ban Breathnach.	31182020704523		
332.024 B	Money and marriage : a complete guide for engaged and newly married couples / Matt Bell.	31182020704705		
332.024 B	Financial planning for your first job / Matthew Brandeburg.	31182020732292		
332.024 B	The latte factor : why you don't have to be rich to live rich / David Bach and John David Mann.	31182035049120		
332.024 C	Pay it down! : from debt to wealth on $10 a day / Jean Chatzky.	31182016180258		
332.024 C	The difference : how anyone can prosper in even the toughest times / Jean Chatzky.	31182019146140		
332.024 C	Money rules : the simple path to lifelong security / Jean Chatzky.	31182019372530		
332.024 C	"Money 911 : your most pressing money questions answered, your money emergencies solved / Jean Chatzky with Arielle McGowen."	31182019954626		
332.024 C	"Not your parents' money book : making, saving, and spending your own money / Jean Chatzky   illustrated by Erwin Haya."	31182019986826		
332.024 C	Get it together : organize your records so your family won't have to / by Melanie Cullen with Shae Irving.	31182020122312		
332.024 C	"Retirement 101 : from 401(k) plans and Social Security benefits to asset management and medical insurance : your complete guide to preparing for the future you want / Michele Cagan, CPA."	31182035055739		
332.024 D	"The money book for freelancers, part-timers, and the self-employed : the only personal finance system for people with not-so-regular jobs / Joseph D'Agnese & Denise Kiernan."	31182019145944		
332.024 D	Your retirement income blueprint : a six-step plan to design and build a secure retirement / Daryl Diamond.	31182020761200		
332.024 D	"The Holy Spirit, your financial advisor : God's plan for debt-free money management / Dr. Creflo Dollar."	31182020963210		
332.024 E	Special needs trusts.	31182016731639		
332.024 E	The truth about retirement plans and IRAs / Ric Edelman.	31182020959481		
332.024 E	"The truth about your future : the money guide you need now, later, and much later / Ric Edelman."	31182034230689		
332.024 F	Isn't it their turn to pick up the check? : dealing with all of the trickiest money problems between family and friends--from serial borrowers to serious cheapskates / Jeanne Fleming and Leonard Schwarz.	31182018039973		
332.024 F	The complete idiot's guide to personal finance in your 20s & 30s / by Sarah Young Fisher and Susan Shelly.	31182018667070		
332.024 F	"The new frugality : how to consume less, save more, and live better / Chris Farrell."	31182018996503		
332.024 F	"Live more, spend less : a savy guide to saving money for all the family / Sarah Flower."	31182019145951		
332.024 F	Your money ratios : 8 simple tools for financial security / Charles Farrell.	31182019145985		
332.024 F	"Plan your prosperity : the only retirement guide you'll ever need, starting now, whether you're 22, 52 or 82 / Ken Fisher with Lara Hoffmans."	31182019785996		
332.024 G	Real world math : money & other numbers in your life / Donna Guthrie and Jan Stiles   illustrations by Robyn Kline.	31182014208846		
332.024 G	The secret of shelter island : money and what matters / Alexander Green.	31182019144962		
332.024 G	Master your debt : slash your monthly payments and become debt free / Jordan E. Goodman with Bill Westrom.	31182019146009		
332.024 G	The veteran's money book : a step-by-step program to help military veterans build a personal financial action plan and map their futures / by Mechel Lashawn Glass with Scott Scredon.	31182020983432		
332.024 H	Debt-proof your marriage : how to achieve financial harmony / Mary Hunt.	31182015888935		
332.024 H	"Good debt, bad debt : knowing the difference can save your financial life / Jon Hanson."	31182016421678		
332.024 H	"Clark Howard's living large in lean times : 250+ ways to buy smarter, spend smarter, and save money / Clark Howard   with Mark Meltzer and Theo Thimou."	31182019189249		
332.024 H	Raising financially confident kids / Mary Hunt.	31182019483071		
332.024 H	Man vs. markets : economics explained (plain and simple) / Paddy Hirsch   with Illustrations by Dan Archer.	31182019779395		
332.024 H	"The teen's guide to personal finance : basic concepts in personal finance that every teen should know / Joshua Holmberg and David Bruzzese   foreward by BJ Fuller, Ph.D."	31182019962645		
332.024 H	Managing my money : banking and budgeting basics / Natalie Hale.	31182019986214		
332.024 H	"Clark Howard's living large for the long haul : consumer-tested ways to overhaul your finances, increase your savings, and get your life back on track / Clark Howard   with Mark Meltzer and Theo Thimou."	31182020555099		
332.024 H	The one-page financial plan : everything you need to successfully manage your money and invest for wealth creation / Sam Henderson.	31182020583976		
332.024 H	The smart woman's guide to planning for retirement : how to save for your future today / Mary Hunt.	31182020601521		
332.024 H	Raised for richness : teaching kids money skills for life / Karyn Hodgens.	31182020799390		
332.024 H	"The international living guide to retiring overseas on a budget : how to live well on $25,000 a year / Suzan Haskins, Dan Precher."	31182020982731		
332.024 H	The financially confident woman : what you need to know to take charge of your money / Mary Hunt.	31182033619882		
332.024 H	Napkin finance : build your wealth in 30 seconds or less / Tina Hay.	31182035317584		
332.024 I	Suddenly frugal : how to live happier & healthier with less / Leah Ingram.	31182019145571		
332.024 J	Getting started in finding a financial advisor / Chuck Jaffe.	31182019145043		
332.024 J	The AARP Retirement Survival Guide : how to make smart financial decisions in good times and bad / Julie Jason.	31182019145712		
332.024 K	"The secret language of money : how to make smarter financial decisions and lead a richer life / David Krueger, with John David Mann."	31182019145738		
332.024 K	"The Wall Street journal guide to the new rules of personal finance : essential strategies for saving, investing, and building a portfolio in a world turned upside down / Dave Kansas."	31182020704614		
332.024 K	The 60-minute money workout / Ellie Kay.	31182020704648		
332.024 L	The millionaire maker's guide to creating a cash machine for life / by Loral Langemeier.	31182017842245		
332.024 L	"The millionaire maker : act, think, and make money the way the wealthy do / Loral Langemeier."	31182017842732		
332.024 L	Save big : cut your top 5 costs and save thousands / Elisabeth Leamy.	31182019146132		
332.024 L	The Bogleheads' guide to retirement planning / Taylor Larimore ... [et al.]   foreword by John C. Bogle.	31182019986891		
332.024 L	"Military finances : personal money management for service members, veterans and their families / Cheryl Lawhorne-Scott and Don Philpott."	31182020569454		
332.024 L	Emotional currency : a woman's guide to building a healthy relationship with money / Kate Levinson.	31182020704671		
332.024 L	20 retirement decisions you need to make right now / Ray E. Levitre.	31182021082002		
332.024 L	Asset allocation demystified / Paul J. Lim.	31182021082036		
332.024 L	Financial planning applications / Craig W. Lemoine.	31182034712900		
332.024 M	"Kids, wealth, and consequences : ensuring a responsible financial future for the next generation / Richard A. Morris and Jayne A. Pearl   foreword by James E. Hughes Jr."	31182019146645		
332.024 M	"The hard times guide to retirement security : practical strategies for money, work, and living / Mark Miller."	31182019952711		
332.024 M	Financial recovery : developing a healthy relationship with money / Karen McCall   foreword by John Bradshaw.	31182020704424		
332.024 M	13 things rich people won't tell you : 325+ tried and true secrets to building your fortune no matter what your salary / Jennifer Merritt with Roe D'Angelo.	31182021081962		
332.024 N	Quicken 2013 for dummies / by Stephen L. Nelson.	31182019589851		
332.024 N	Tight living for tough times : a frugal retiree's guide to thrift / Frank C. Nellis	31182019962850		
332.024 O	The road to wealth : a comprehensive guide to your money / Suze Orman.	31182015231250		
332.024 O	"The laws of money, the lessons of life : keep what you have and create what you deserve / Suze Orman."	31182015587529		
332.024 O	"The money book for the young, fabulous & broke / Suze Orman."	31182016482738		
332.024 O	Kiplinger's retire and thrive : how more than 50 people redefined their retirement lifestyles / Robert K. Otterbourg.	31182017689273		
332.024 O	"Live it, love it, earn it : a woman's guide to financial freedom / Marianna Olszewski."	31182018995562		
332.024 O	Women & money : owning the power to control your destiny / Suze Orman.	31182019144954		
332.024 O	The shortest book ever on saving for retirement : how to make every dollar count in any financial climate / James O'Donnell.	31182019145183		
332.024 O	"Live it, love it, earn it [sound recording (unabridged CD audiobook)] : a woman's guide to financial freedom / Marianna Olszewski."	31182019933240		
332.024 O	"Cold hard truth on men, women & money : 50 common money mistakes and how to fix them / Kevin O'Leary."	31182020561634		
